2022-04-24 03:02:14,812 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:02:14,851 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57531), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650758534.85141, 'user': {'account_name': 'test1', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1O9Ez5HSOVZ0pjETN4tF\nM6QZMbzzOAIs+3M2lsWrwbgwaIGSHoOxHR17WxbBXwd7AKRkcqTy74zJyPfP9DLP\n7qyhsrJ3S4VBQKFHz8M1Uje6Q+8MYd6elanzpo5r5kcAZWxwFqINy3VXq23O1ueG\nC6d+lnOnVcZUmjWCbvtQ3jxLL37HWBlTHvCK4LqU3BPXzEDIN/tqQb2Rw949D5V6\nEkM9E3D09eFyn6UZa8ymuQdGSqfZPY6rpszO997QL47C0jrHhGb0QWnATvu2YfqL\nt0ZPXGJXRwxvxr+6d9hBz5y3WRlC3ji8bC27uWTHJZKz4TGyHtWaPmdi8xE/hFxv\nswIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:02:15,349 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57531), raddr=('127.0.0.1', 7777)>,), {} вызвана из функции common.utils
2022-04-24 03:02:15,350 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57531), raddr=('127.0.0.1', 7777)>, {'response': 511, 'bin': 'kUigFtB8GNU0+k0Fnnz89A==\n'}), {} вызвана из функции common.utils
2022-04-24 03:02:15,351 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57531), raddr=('127.0.0.1', 7777)>,), {} вызвана из функции common.utils
2022-04-24 03:02:43,755 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:02:49,860 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: test1
2022-04-24 03:02:49,919 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:02:49,959 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1212, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57535), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650758569.959079, 'user': {'account_name': 'test1', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1O9Ez5HSOVZ0pjETN4tF\nM6QZMbzzOAIs+3M2lsWrwbgwaIGSHoOxHR17WxbBXwd7AKRkcqTy74zJyPfP9DLP\n7qyhsrJ3S4VBQKFHz8M1Uje6Q+8MYd6elanzpo5r5kcAZWxwFqINy3VXq23O1ueG\nC6d+lnOnVcZUmjWCbvtQ3jxLL37HWBlTHvCK4LqU3BPXzEDIN/tqQb2Rw949D5V6\nEkM9E3D09eFyn6UZa8ymuQdGSqfZPY6rpszO997QL47C0jrHhGb0QWnATvu2YfqL\nt0ZPXGJXRwxvxr+6d9hBz5y3WRlC3ji8bC27uWTHJZKz4TGyHtWaPmdi8xE/hFxv\nswIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:02:50,454 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1212, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57535), raddr=('127.0.0.1', 7777)>,), {} вызвана из функции common.utils
2022-04-24 03:02:50,454 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1212, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57535), raddr=('127.0.0.1', 7777)>, {'response': 511, 'bin': 'x8dFFtSppAE569WJ8uaZuQ==\n'}), {} вызвана из функции common.utils
2022-04-24 03:02:50,455 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1212, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57535), raddr=('127.0.0.1', 7777)>,), {} вызвана из функции common.utils
2022-04-24 03:11:47,395 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:11:56,343 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: tesst1
2022-04-24 03:11:58,081 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:11:58,162 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1136, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57619), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650759118.1618958, 'user': {'account_name': 'tesst1', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAv53/Q8ZZNpHzem9+bNkf\n4x50etixxOFO+ce0jFS0MFDPEdJ98CW+wdbNroyxWVQKIWDfiwepw3cIU+UcQXWV\n1J0E8QukCXK1ABLviaAQIDhRa2LajJIGOErmgVEToFaqZjtCVBZhj83jodNIncVY\nxgzs26CylWj0SjFDxKmU5IEIomg9Lkv64HE+f1siyROoPplvWIiNihzR/SvSFJcj\n2r5fWsDqRn3rMhMB/VWUHxPRuGrPgqDIGLdEKoKDTnhzo5e4axd0ZYPWX5jlWMAp\ndkwue3MQzuATwFyYz5bq0TzcLGOmusV4tMjVm84agPZsP8Qw78Gym/9bTffGGFRM\neQIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:11:58,655 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1136, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57619), raddr=('127.0.0.1', 7777)>,), {} вызвана из функции common.utils
2022-04-24 03:21:51,502 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:21:55,532 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: qqq
2022-04-24 03:21:55,957 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:21:56,023 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1180, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61750), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650759716.023446, 'user': {'account_name': 'qqq', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA/nS6jRZLBKSzpTH6FvMr\nxSpr6t/ynqt6WOQ0aZ74oEt27sxKTqf2X2kBplJ9otruXn2buGNuFanGB9z3dNHK\nhtLidyB62QifCcH+EU5eOV5sM4KGypzVSW6WuMXPYvAgStV9KesshUlMioeoUEQ+\nF/eWQpflPv4G+zNhdKqfyRBDXOtfgkHV/RPZJfgn72szf25M7KgpdXeHpCSqGtoN\nTMRbJmLSev+6BSnNfpb7n0bA5ImrCqKfV4RM2cJYQl9xV8WoS+VSeLax6N5rc7+h\nx72IgO59LotMSznZiTSNz7Uh1+mc1R2iPugbI+4KGpB8PdH3OCGeSp0eC/7Vr9rR\nowIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:33:38,099 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:33:41,028 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: qqq
2022-04-24 03:33:41,089 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:33:41,130 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60547), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650760421.1301866, 'user': {'account_name': 'qqq', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA/nS6jRZLBKSzpTH6FvMr\nxSpr6t/ynqt6WOQ0aZ74oEt27sxKTqf2X2kBplJ9otruXn2buGNuFanGB9z3dNHK\nhtLidyB62QifCcH+EU5eOV5sM4KGypzVSW6WuMXPYvAgStV9KesshUlMioeoUEQ+\nF/eWQpflPv4G+zNhdKqfyRBDXOtfgkHV/RPZJfgn72szf25M7KgpdXeHpCSqGtoN\nTMRbJmLSev+6BSnNfpb7n0bA5ImrCqKfV4RM2cJYQl9xV8WoS+VSeLax6N5rc7+h\nx72IgO59LotMSznZiTSNz7Uh1+mc1R2iPugbI+4KGpB8PdH3OCGeSp0eC/7Vr9rR\nowIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:37:15,746 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:37:21,374 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: qqq
2022-04-24 03:37:21,435 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:37:47,623 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:37:50,507 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: qqq
2022-04-24 03:37:50,575 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:37:50,614 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1204, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60600), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650760670.614564, 'user': {'account_name': 'qqq', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA/nS6jRZLBKSzpTH6FvMr\nxSpr6t/ynqt6WOQ0aZ74oEt27sxKTqf2X2kBplJ9otruXn2buGNuFanGB9z3dNHK\nhtLidyB62QifCcH+EU5eOV5sM4KGypzVSW6WuMXPYvAgStV9KesshUlMioeoUEQ+\nF/eWQpflPv4G+zNhdKqfyRBDXOtfgkHV/RPZJfgn72szf25M7KgpdXeHpCSqGtoN\nTMRbJmLSev+6BSnNfpb7n0bA5ImrCqKfV4RM2cJYQl9xV8WoS+VSeLax6N5rc7+h\nx72IgO59LotMSznZiTSNz7Uh1+mc1R2iPugbI+4KGpB8PdH3OCGeSp0eC/7Vr9rR\nowIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:39:13,388 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
